,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
53950,Almuth von Below-Neufeldt;Hermann Grupe;Dr. Stefan Birkner;Dr. Gero Hocker,Dr. Stefan Birkner;Almuth von Below-Neufeldt;Hermann Grupe;Dr. Gero Hocker,https://kleineanfragen.de/niedersachsen/17/8798-stehen-muehlen-der-wasserrahmenrichtlinie-entgegen,Stehen Mühlen der Wasserrahmenrichtlinie entgegen?,minor,2017-10-02T00:00:00Z,FDP,"Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz","Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz"
53951,Frank Oesterhelweg;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Helmut Dammann-Tamke;Christian Calderone;Hans-Heinrich Ehlen,Frank Oesterhelweg;Hans-Heinrich Ehlen;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Christian Calderone;Helmut Dammann-Tamke,https://kleineanfragen.de/niedersachsen/17/8795-was-hat-die-sanfte-agrarwende-fuer-erzeuger-und-verbraucher-gebracht-teil-11,"Was hat die ""sanfte Agrarwende"" für Erzeuger und Verbraucher gebracht? (Teil 11)",minor,2017-10-02T00:00:00Z,CDU,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
53952,Almuth von Below-Neufeldt,Almuth von Below-Neufeldt,https://kleineanfragen.de/niedersachsen/17/8792-das-palaeon-als-magnet-fuer-tourismus-und-wissenschaft,Das paläon als Magnet für Tourismus und Wissenschaft?,minor,2017-09-30T00:00:00Z,FDP,Niedersächsisches Ministerium für Wissenschaft und Kultur,Niedersächsisches Ministerium für Wissenschaft und Kultur
53953,Jörg Hillmer;Kai Seefried;Uwe Schünemann,Uwe Schünemann;Jörg Hillmer;Kai Seefried,https://kleineanfragen.de/niedersachsen/17/8800-abordnung-von-lehrkraeften-lehrerkarussell-sorgt-fuer-chaotischen-schulstart-hannoversche-allgemeine-zeitung-vom-4,"Abordnung von Lehrkräften: ""Lehrerkarussell sorgt für chaotischen Schulstart"" (Hannoversche Allgemeine Zeitung vom 4. August 2017)",minor,2017-09-29T00:00:00Z,CDU,Niedersächsisches Kultusministerium,Niedersächsisches Kultusministerium
53954,Dr. Gero Hocker;Jörg Bode;Christian Grascha,Christian Grascha;Jörg Bode;Dr. Gero Hocker,https://kleineanfragen.de/niedersachsen/17/8796-gibt-es-einen-problemwolf-im-landkreis-celle,Gibt es einen Problemwolf im Landkreis Celle?,minor,2017-09-29T00:00:00Z,FDP,"Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz","Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz"
53955,Almuth von Below-Neufeldt,Almuth von Below-Neufeldt,https://kleineanfragen.de/niedersachsen/17/8803-innovation-und-forschung-fuer-neue-praeventionsansaetze-in-der-arbeitswelt,Innovation und Forschung für neue Präventionsansätze in der Arbeitswelt,minor,2017-09-28T00:00:00Z,FDP,"Niedersächsisches Ministerium für Wirtschaft, Arbeit und Verkehr","Niedersächsisches Ministerium für Wirtschaft, Arbeit und Verkehr"
53956,Grant Hendrik Tonne,Grant Hendrik Tonne,https://kleineanfragen.de/niedersachsen/17/8790-ein-teures-gutachten-fuer-den-damaligen-kultusminister-althusmann-ohne-jeden-nutzen,Ein teures Gutachten für den damaligen Kultusminister Althusmann ohne jeden Nutzen?,minor,2017-09-28T00:00:00Z,SPD,Niedersächsisches Kultusministerium,Niedersächsisches Kultusministerium
53957,Gabriela König;Jörg Bode,Jörg Bode;Gabriela König,https://kleineanfragen.de/niedersachsen/17/8789-wann-ist-mit-planfeststellungen-und-baurecht-bei-a-39-und-a-20-genau-zu-rechnen,Wann ist mit Planfeststellungen und Baurecht bei A 39 und A 20 genau zu rechnen?,minor,2017-09-28T00:00:00Z,FDP,"Niedersächsisches Ministerium für Wirtschaft, Arbeit und Verkehr","Niedersächsisches Ministerium für Wirtschaft, Arbeit und Verkehr"
53958,Reinhold Hilbers;Frank Oesterhelweg,Frank Oesterhelweg;Reinhold Hilbers,https://kleineanfragen.de/niedersachsen/17/8786-situation-von-erwachsenen-mit-angeborenem-herzfehler-emah,Situation von Erwachsenen mit angeborenem Herzfehler (EMAH),minor,2017-09-28T00:00:00Z,CDU,"Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung","Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung"
53959,Gabriela König;Dr. Stefan Birkner;Jörg Bode;Dr. Gero Hocker,Dr. Stefan Birkner;Gabriela König;Jörg Bode;Dr. Gero Hocker,https://kleineanfragen.de/niedersachsen/17/8797-wie-sehen-die-massnahmen-gegen-die-nox-belastung-konkret-aus,Wie sehen die Maßnahmen gegen die NOx-Belastung konkret aus?,minor,2017-09-27T00:00:00Z,FDP,"Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz","Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz"
