,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
14448,Markus Ganserer;Jürgen Mistol,Jürgen Mistol;Markus Ganserer,https://kleineanfragen.de/bayern/17/20916-streckenelektrifizierungen-in-der-oberpfalz,Streckenelektrifizierungen in der Oberpfalz,written,2018-06-08T00:00:00Z,Bündnis 90/Die Grünen,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14449,Alexander Muthmann,Alexander Muthmann,https://kleineanfragen.de/bayern/17/20912-foerderprogramm-digitalbonus,Förderprogramm Digitalbonus,written,2018-06-08T00:00:00Z,fraktionslos,"Staatsministerium für Wirtschaft und Medien, Energie und Technologie","Staatsministerium für Wirtschaft und Medien, Energie und Technologie"
14450,Dr. Simone Strohmayr,Dr. Simone Strohmayr,https://kleineanfragen.de/bayern/17/20910-inobhutnahme-in-bayern-i,Inobhutnahme in Bayern I,written,2018-06-08T00:00:00Z,SPD,,
14451,Markus Ganserer;Rosi Steinberger,Rosi Steinberger;Markus Ganserer,https://kleineanfragen.de/bayern/17/20907-streckenelektrifizierungen-in-niederbayern,Streckenelektrifizierungen in Niederbayern,written,2018-06-08T00:00:00Z,Bündnis 90/Die Grünen,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14452,Dr. Hans Jürgen Fahn,Dr. Hans Jürgen Fahn,https://kleineanfragen.de/bayern/17/20825-fragenkatalog-ueber-die-wachsende-aufgabe-der-betreuung-von-asylbewerbern-in-unterfranken,Fragenkatalog über die wachsende Aufgabe der Betreuung von Asylbewerbern in Unterfranken,written,2018-06-08T00:00:00Z,Freie Wähler,,
14453,Dr. Martin Runge,Dr. Martin Runge,https://kleineanfragen.de/bayern/17/20754-st-2069-suedwestumfahrung-olching,St 2069 – Südwestumfahrung Olching,written,2018-06-08T00:00:00Z,Bündnis 90/Die Grünen,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14454,Florian von Brunn,Florian von Brunn,https://kleineanfragen.de/bayern/17/18110-streckensperrungen-bei-der-werdenfelsbahn-zwischen-tutzing-und-kochel,Streckensperrungen bei der Werdenfelsbahn zwischen Tutzing und Kochel,written,2018-06-08T00:00:00Z,SPD,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14455,Ruth Müller,Ruth Müller,https://kleineanfragen.de/bayern/17/18091-kostenuebernahmebescheide-fuer-den-stationaeren-pflegebedarf-durch-die-bayerischen-bezirke,Kostenübernahmebescheide für den stationären Pflegebedarf durch die bayerischen Bezirke,written,2018-06-08T00:00:00Z,SPD,"Staatsministerium für Arbeit und Soziales, Familie und Integration","Staatsministerium für Arbeit und Soziales, Familie und Integration"
14456,Markus Ganserer;Martin Stümpfig,Martin Stümpfig;Markus Ganserer,https://kleineanfragen.de/bayern/17/21104-streckenelektrifizierungen-in-mittelfranken,Streckenelektrifizierungen in Mittelfranken,written,2018-06-06T00:00:00Z,Bündnis 90/Die Grünen,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14457,Klaus Adelt,Klaus Adelt,https://kleineanfragen.de/bayern/17/21103-nahversorgung-in-bayern-foerderprogramme,Nahversorgung in Bayern - Förderprogramme,written,2018-06-06T00:00:00Z,SPD,,
14458,Dr. Hans Jürgen Fahn,Dr. Hans Jürgen Fahn,https://kleineanfragen.de/bayern/17/21100-genehmigungspraxis-von-eingriffen-in-ffh-gebiete-in-bayern-ii,Genehmigungspraxis von Eingriffen in FFH Gebiete in Bayern (II),written,2018-06-06T00:00:00Z,Freie Wähler,Staatsministerium für Umwelt und Verbraucherschutz,Staatsministerium für Umwelt und Verbraucherschutz
14459,Ruth Müller;Dr. Herbert Kränzlein,Ruth Müller;Dr. Herbert Kränzlein,https://kleineanfragen.de/bayern/17/21097-justizgebaeude-in-niederbayern,Justizgebäude in Niederbayern,written,2018-06-06T00:00:00Z,SPD,Staatsministerium der Justiz,Staatsministerium der Justiz
14460,Dr. Simone Strohmayr,Dr. Simone Strohmayr,https://kleineanfragen.de/bayern/17/20750-inobhutnahme-in-bayern-ii,Inobhutnahme in Bayern II,written,2018-06-06T00:00:00Z,SPD,,
14461,Annette Karl,Annette Karl,https://kleineanfragen.de/bayern/17/19786-lehrlingswohnheime-in-bayern,Lehrlingswohnheime in Bayern,written,2018-06-06T00:00:00Z,SPD,,
14462,Dr. Simone Strohmayr,Dr. Simone Strohmayr,https://kleineanfragen.de/bayern/17/19785-krankmeldungen-aufgrund-von-kindern,Krankmeldungen aufgrund von Kindern,written,2018-06-06T00:00:00Z,SPD,,
14463,Susann Biedefeld,Susann Biedefeld,https://kleineanfragen.de/bayern/17/19784-zytostatika-herstellende-apotheken-in-bayern,Zytostatika herstellende Apotheken in Bayern,written,2018-06-06T00:00:00Z,SPD,Staatsministerium für Gesundheit und Pflege,Staatsministerium für Gesundheit und Pflege
14464,Christine Kamm,Christine Kamm,https://kleineanfragen.de/bayern/17/19761-gefluechtete-kinder-und-jugendlichen-in-bayern,Geflüchtete Kinder und Jugendlichen in Bayern,written,2018-06-06T00:00:00Z,Bündnis 90/Die Grünen,,
14465,Florian Streibl,Florian Streibl,https://kleineanfragen.de/bayern/17/19758-sondierungsgespraeche-in-berlin-und-auswirkungen-auf-die-arbeit-der-staatsregierung,Sondierungsgespräche in Berlin und Auswirkungen auf die Arbeit der Staatsregierung,written,2018-06-06T00:00:00Z,Freie Wähler,,
14466,Doris Rauscher,Doris Rauscher,https://kleineanfragen.de/bayern/17/19204-lebensrealitaeten-von-kinderreichen-familien-in-bayern-teil-i,Lebensrealitäten von kinderreichen Familien in Bayern – Teil I,written,2018-06-06T00:00:00Z,SPD,,
14467,Dr. Christian Magerl,Dr. Christian Magerl,https://kleineanfragen.de/bayern/17/18916-laermschutzzonen-an-flughaefen-in-bayern,Lärmschutzzonen an Flughäfen in Bayern,written,2018-06-06T00:00:00Z,Bündnis 90/Die Grünen,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14468,Benno Zierer,Benno Zierer,https://kleineanfragen.de/bayern/17/18915-sicherheitskontrollen-am-flughafen-muenchen,Sicherheitskontrollen am Flughafen München,written,2018-06-06T00:00:00Z,Freie Wähler,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14469,Klaus Adelt,Klaus Adelt,https://kleineanfragen.de/bayern/17/18914-wettbewerbsverzerrung-durch-amazon,Wettbewerbsverzerrung durch Amazon?,written,2018-06-06T00:00:00Z,SPD,,
14470,Eva Gottstein,Eva Gottstein,https://kleineanfragen.de/bayern/17/18884-neue-dienstkleidung-der-bayerischen-polizei,Neue Dienstkleidung der Bayerischen Polizei,written,2018-06-06T00:00:00Z,Freie Wähler,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14471,Georg Rosenthal,Georg Rosenthal,https://kleineanfragen.de/bayern/17/18851-ausbau-des-hochwasserschutzes-in-unterfranken,Ausbau des Hochwasserschutzes in Unterfranken,written,2018-06-06T00:00:00Z,SPD,,
14472,Markus Rinderspacher,Markus Rinderspacher,https://kleineanfragen.de/bayern/17/18850-verzinsung-staatlicher-gelder,Verzinsung staatlicher Gelder,written,2018-06-06T00:00:00Z,SPD,"Staatsministerium der Finanzen, für Landesentwicklung und Heimat","Staatsministerium der Finanzen, für Landesentwicklung und Heimat"
14473,Sylvia Stierstorfer,Sylvia Stierstorfer,https://kleineanfragen.de/bayern/17/18839-situation-der-pflegestuetzpunkte-in-bayern,Situation der Pflegestützpunkte in Bayern,written,2018-06-06T00:00:00Z,CSU,Staatsministerium für Gesundheit und Pflege,Staatsministerium für Gesundheit und Pflege
