,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
27783,Ole Kreins,Ole Kreins,https://kleineanfragen.de/berlin/17/11039-rummelsburger-see-stand-der-oekologischen-sanierung,Rummelsburger See - Stand der ökologischen Sanierung,minor,2012-10-26T00:00:00Z,SPD,Senatsverwaltung für Stadtentwicklung und Umwelt,Senatsverwaltung für Stadtentwicklung und Umwelt
27784,Elke Breitenbach,Elke Breitenbach,https://kleineanfragen.de/berlin/17/11034-folgen-des-wegfalls-von-mitteln-aus-den-europaeischen-fonds-fuer-regionale-entwicklung-ab-2013-fuer-berliner,Folgen des Wegfalls von Mitteln aus den Europäischen Fonds für regionale Entwicklung ab 2013 für Berliner Stadtteilzentren,minor,2012-10-26T00:00:00Z,Die Linke,Senatsverwaltung für Gesundheit und Soziales,Senatsverwaltung für Gesundheit und Soziales
27785,Dr. Turgut Altuğ,Dr. Turgut Altuğ,https://kleineanfragen.de/berlin/17/11026-gruenflaechen-und-baumschutzpflege-in-den-bezirken-vor-dem-aus,Grünflächen- und Baumschutzpflege in den Bezirken vor dem Aus?,minor,2012-10-26T00:00:00Z,Bündnis 90/Die Grünen,Senatsverwaltung für Stadtentwicklung und Umwelt,Senatsverwaltung für Stadtentwicklung und Umwelt
27786,Stefan Evers,Stefan Evers,https://kleineanfragen.de/berlin/17/11020-fertigstellung-der-rathausbruecke,Fertigstellung der Rathausbrücke,minor,2012-10-26T00:00:00Z,CDU,Senatsverwaltung für Stadtentwicklung und Umwelt,Senatsverwaltung für Stadtentwicklung und Umwelt
27787,Claudia Hämmerling,Claudia Hämmerling,https://kleineanfragen.de/berlin/17/10972-wie-teuer-kommt-der-baupfusch-am-strandbad-wannsee-die-steuerzahlerinnen-zu-stehen-wie-serioes-hat-die-stiftung,Wie teuer kommt der Baupfusch am Strandbad Wannsee die SteuerzahlerInnen zu stehen - wie seriös hat die Stiftung Denkmalschutz Berlin als Bauherr gearbeitet?,minor,2012-10-26T00:00:00Z,Bündnis 90/Die Grünen,Senatsverwaltung für Stadtentwicklung und Umwelt,Senatsverwaltung für Stadtentwicklung und Umwelt
27788,Alexander J. Herrmann,Alexander J. Herrmann,https://kleineanfragen.de/berlin/17/10948-amtshaftung-fuer-schlagloecher-bzw-mehr-schlaglochsanierung-in-berlin,Amtshaftung für Schlaglöcher bzw. mehr Schlaglochsanierung in Berlin,minor,2012-10-26T00:00:00Z,CDU,Senatsverwaltung für Stadtentwicklung und Umwelt,Senatsverwaltung für Stadtentwicklung und Umwelt
27789,Dr. Susanna Kahlefeld,Dr. Susanna Kahlefeld,https://kleineanfragen.de/berlin/17/10932-islamische-bestattungen-in-berlin-auch-zukuenftig-moeglich,Islamische Bestattungen in Berlin auch zukünftig möglich?,minor,2012-10-26T00:00:00Z,Bündnis 90/Die Grünen,Senatsverwaltung für Stadtentwicklung und Umwelt,Senatsverwaltung für Stadtentwicklung und Umwelt
27790,Michael Freiberg,Michael Freiberg,https://kleineanfragen.de/berlin/17/10620-handwerkerparkausweis-unterstuetzt-berliner-mittelstand,Handwerkerparkausweis unterstützt Berliner Mittelstand,minor,2012-10-26T00:00:00Z,CDU,Senatsverwaltung für Stadtentwicklung und Umwelt,Senatsverwaltung für Stadtentwicklung und Umwelt
27791,Canan Bayram,Canan Bayram,https://kleineanfragen.de/berlin/17/11096-buergerrechte-an-kriminalitaetsbelasteten-orten,"Bürgerrechte an ""Kriminalitätsbelasteten Orten""",minor,2012-10-25T00:00:00Z,Bündnis 90/Die Grünen,Senatsverwaltung für Inneres und Sport,Senatsverwaltung für Inneres und Sport
27792,Dirk Behrendt,Dirk Behrendt,https://kleineanfragen.de/berlin/17/11044-mal-wieder-sinnlose-staatsschutzermittlungen-gegen-antifaschisten,Mal wieder: Sinnlose Staatsschutzermittlungen gegen Antifaschisten?,minor,2012-10-25T00:00:00Z,Bündnis 90/Die Grünen,Senatsverwaltung für Inneres und Sport,Senatsverwaltung für Inneres und Sport
27793,Alexander Spies,Alexander Spies,https://kleineanfragen.de/berlin/17/11017-berliner-joboffensive-v-endlich-qualitaet-statt-quantitaet-oder-weiter-wie-bisher,"""Berliner Joboffensive"" (V): Endlich Qualität statt Quantität - oder weiter wie bisher?",minor,2012-10-25T00:00:00Z,Piraten,"Senatsverwaltung für Arbeit, Integration und Frauen","Senatsverwaltung für Arbeit, Integration und Frauen"
27794,Jutta Matuschek,Jutta Matuschek,https://kleineanfragen.de/berlin/17/11074-finanzierungsbeitrag-der-flughafen-berlin-brandenburg-gmbh-fbb-am-ber,Finanzierungsbeitrag der Flughafen Berlin Brandenburg GmbH (FBB) am BER,minor,2012-10-24T00:00:00Z,Die Linke,Regierender Bürgermeister,Regierender Bürgermeister
27795,Dr. Wolfgang Albers;Katrin Lompscher,Dr. Wolfgang Albers;Katrin Lompscher,https://kleineanfragen.de/berlin/17/11061-zukunft-des-gutshauses-malchow-hoechstpreis-fuer-die-humboldt-universitaet-oder-bewohnerorientierte,Zukunft des Gutshauses Malchow - Höchstpreis für die Humboldt-Universität oder bewohnerorientierte Revitalisierung ?,minor,2012-10-24T00:00:00Z,Die Linke,Senatsverwaltung für Finanzen,Senatsverwaltung für Finanzen
27796,Katrin Lompscher,Katrin Lompscher,https://kleineanfragen.de/berlin/17/11060-zentrum-hohenschoenhausen-am-prerower-platz-wie-weiter-mit-den-landeseigenen-flaechen-und-der,Zentrum Hohenschönhausen am Prerower Platz - wie weiter mit den landeseigenen Flächen und der Einzelhandelsentwicklung?,minor,2012-10-24T00:00:00Z,Die Linke,Senatsverwaltung für Finanzen,Senatsverwaltung für Finanzen
27797,Susanne Graf,Susanne Graf,https://kleineanfragen.de/berlin/17/11055-finanzierung-der-jugendarbeit,Finanzierung der Jugendarbeit,minor,2012-10-24T00:00:00Z,Piraten,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","Senatsverwaltung für Bildung, Jugend und Wissenschaft"
27798,Alexander J. Herrmann,Alexander J. Herrmann,https://kleineanfragen.de/berlin/17/11019-gratis-grundstuecke-buendnis-fuer-soziale-wohnungspolitik,Gratis-Grundstücke - Bündnis für soziale Wohnungspolitik,minor,2012-10-24T00:00:00Z,CDU,Senatsverwaltung für Stadtentwicklung und Umwelt,Senatsverwaltung für Stadtentwicklung und Umwelt
27799,Oliver Höfinghoff,Oliver Höfinghoff,https://kleineanfragen.de/berlin/17/10981-bih-berlinovo-wie-reagiert-der-senat-auf-die-massive-kritik-des-landesrechnungshofes,BIH/Berlinovo: Wie reagiert der Senat auf die massive Kritik des Landesrechnungshofes?,minor,2012-10-24T00:00:00Z,Piraten,Senatsverwaltung für Finanzen,Senatsverwaltung für Finanzen
27800,Özcan Mutlu,Özcan Mutlu,https://kleineanfragen.de/berlin/17/10953-anstieg-der-geburten-in-berliner-bezirken,Anstieg der Geburten in Berliner Bezirken,minor,2012-10-24T00:00:00Z,Bündnis 90/Die Grünen,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","Senatsverwaltung für Bildung, Jugend und Wissenschaft"
27801,Jutta Matuschek,Jutta Matuschek,https://kleineanfragen.de/berlin/17/11064-was-sind-interims-check-ins-am-ber-und-was-kosten-sie,Was sind Interims-Check-Ins am BER und was kosten sie?,minor,2012-10-23T00:00:00Z,Die Linke,Regierender Bürgermeister,Regierender Bürgermeister
27802,Jutta Matuschek,Jutta Matuschek,https://kleineanfragen.de/berlin/17/11063-probebetrieb-am-ber,Probebetrieb am BER,minor,2012-10-23T00:00:00Z,Die Linke,Regierender Bürgermeister,Regierender Bürgermeister
27803,Andreas Otto,Andreas Otto,https://kleineanfragen.de/berlin/17/11047-keine-koordinierte-planung-am-ber,Keine koordinierte Planung am BER?,minor,2012-10-23T00:00:00Z,Bündnis 90/Die Grünen,Regierender Bürgermeister,Regierender Bürgermeister
27804,Antje Kapek,Antje Kapek,https://kleineanfragen.de/berlin/17/11010-wie-wichtig-ist-dem-senat-die-entwicklung-der-europacity-heidestrasse,Wie wichtig ist dem Senat die Entwicklung der Europacity/Heidestraße?,minor,2012-10-23T00:00:00Z,Bündnis 90/Die Grünen,Senatsverwaltung für Stadtentwicklung und Umwelt,Senatsverwaltung für Stadtentwicklung und Umwelt
