,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
49810,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/1835-politische-kriminalitaet-links-maerz-2013,Politische Kriminalität Links - März 2013,minor,2013-05-21T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
49811,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/1833-werbung-fuer-auslaenderfeindlichkeit,Werbung für Ausländerfeindlichkeit,minor,2013-05-21T00:00:00Z,NPD,Justizministerium,Justizministerium
49812,Udo Pastörs,Udo Pastörs,https://kleineanfragen.de/mecklenburg-vorpommern/6/1828-bezieher-von-alg-ii-die-in-vollzeit-arbeiten,"Bezieher von ALG II, die in Vollzeit arbeiten",minor,2013-05-21T00:00:00Z,NPD,"Ministerium für Arbeit, Gleichstellung und Soziales","Ministerium für Arbeit, Gleichstellung und Soziales"
49813,Stefan Köster,Stefan Köster,https://kleineanfragen.de/mecklenburg-vorpommern/6/1826-initiative-bewegte-kinder,Initiative „Bewegte Kinder“,minor,2013-05-21T00:00:00Z,NPD,"Ministerium für Bildung, Wissenschaft und Kultur","Ministerium für Bildung, Wissenschaft und Kultur"
49814,Udo Pastörs,Udo Pastörs,https://kleineanfragen.de/mecklenburg-vorpommern/6/1822-erwerbsfaehige-hilfebeduerftige-mit-einkommen-aus-selbststaendiger-taetigkeit,Erwerbsfähige Hilfebedürftige mit Einkommen aus selbstständiger Tätigkeit,minor,2013-05-21T00:00:00Z,NPD,"Ministerium für Arbeit, Gleichstellung und Soziales","Ministerium für Arbeit, Gleichstellung und Soziales"
49815,Ulrike Berger,Ulrike Berger,https://kleineanfragen.de/mecklenburg-vorpommern/6/1818-stand-der-verhandlungen-zur-umstrukturierung-der-theater-und-orchester,Stand der Verhandlungen zur Umstrukturierung der Theater und Orchester,minor,2013-05-21T00:00:00Z,Bündnis 90/Die Grünen,"Ministerium für Bildung, Wissenschaft und Kultur","Ministerium für Bildung, Wissenschaft und Kultur"
49816,Dr. Mignon Schwenke,Dr. Mignon Schwenke,https://kleineanfragen.de/mecklenburg-vorpommern/6/1816-genehmigungsverfahren-fuer-das-gas-und-dampfturbinenkraftwerk-iii-in-lubmin,Genehmigungsverfahren für das Gas- und Dampfturbinenkraftwerk III in Lubmin,minor,2013-05-21T00:00:00Z,Die Linke,"Ministerium für Wirtschaft, Bau und Tourismus","Ministerium für Wirtschaft, Bau und Tourismus"
49817,Torsten Koplin,Torsten Koplin,https://kleineanfragen.de/mecklenburg-vorpommern/6/1812-konzepte-fuer-die-struktur-der-theater-und-orchester-in-mecklenburg-vorpommern,Konzepte für die Struktur der Theater und Orchester in Mecklenburg-Vorpommern,minor,2013-05-21T00:00:00Z,Die Linke,"Ministerium für Bildung, Wissenschaft und Kultur","Ministerium für Bildung, Wissenschaft und Kultur"
49818,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/1838-projekte-fuer-eine-gesuendere-ernaehrung-von-kindern-und-jugendlichen,Projekte für eine gesündere Ernährung von Kindern und Jugendlichen,minor,2013-05-17T00:00:00Z,NPD,"Ministerium für Bildung, Wissenschaft und Kultur","Ministerium für Bildung, Wissenschaft und Kultur"
49819,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/1836-pmk-rechts-und-musikveranstaltungen,PMK Rechts und Musikveranstaltungen,minor,2013-05-17T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
