,person,party
361,Johanna Werner-Muggendorfer,SPD
362,Helga Schmitt-Bussinger,SPD
363,Dr. Thomas Goppel,CSU
364,Peter Winter,CSU
365,Prof. Dr. Peter Bauer,Freie Wähler
366,Martin Bachhuber,CSU
367,Natascha Kohnen,SPD
368,Walter Nussel,CSU
369,Wolfgang Fackler,CSU
370,Dr. Otto Hünnerkopf,CSU
371,Josef Zellmeier,CSU
372,Diana Stachowitz,SPD
373,Klaus Steiner,CSU
374,Angelika Schorer,CSU
375,Manfred Ländner,CSU
376,Eric Beißwenger,CSU
377,Dr. Linus Förster,SPD
378,Katrin Kunert,Bündnis 90/Die Grünen
379,der Fraktion,Bündnis 90/Die Grünen
380,Agnes Alpers,Bündnis 90/Die Grünen
381,Jan Korte,Bündnis 90/Die Grünen
382,Markus Ganser,Bündnis 90/Die Grünen
383,Jürgen Baumgärtner,CSU
384,Katharina Schulde,Bündnis 90/Die Grünen
385,Heinrich Rudrof,CSU
386,Michael Brückner,CSU
387,Anton Kreitmair,CSU
388,Margarete Bause,Bündnis 90/Die Grünen
389,Kerstin Schreyer-Stäblein,CSU
390,Berthold Rüth,CSU
391,Martin Schöffel,CSU
392,Hermann Imhof,CSU
393,Dr. Franz Rieger,CSU
394,Dr. Michael Piazolo,Freie Wähler
395,Ulrike Müller,Freie Wähler
396,Ulrik Gote,Bündnis 90/Die Grünen
397,Tanja Schweiger,Freie Wähler
398,Florion von Brunn,SPD
399,Sepp Dürr,Bündnis 90/Die Grünen
400,Ulli Leiner,Bündnis 90/Die Grünen
401,Alessa Ulrike Berkenkamp,Bündnis 90/Die Grünen
402,Marianne Burkert-Eulitz,Bündnis 90/Die Grünen
403,Jutta Matuschek,Die Linke
404,Peter Trapp,CDU
405,Alexander J. Herrmann,CDU
406,Alexander Spies,Piraten
407,Katrin Möller,Die Linke
408,Harald Moritz,Bündnis 90/Die Grünen
409,Tim-Christopher Zeelen,CDU
410,Oliver Friederici,CDU
411,Stefan Evers,CDU
412,Katrin Lompscher,Die Linke
413,Stefanie Remlinger,Bündnis 90/Die Grünen
414,Anja Schillhaneck,Bündnis 90/Die Grünen
415,Dr. Turgut Altuğ,Bündnis 90/Die Grünen
416,Hakan Taş,Die Linke
417,Elke Breitenbach,Die Linke
418,Brigitte Lange,SPD
419,Stefan Schlede,CDU
420,Philipp Magalski,Piraten
421,Jasenka Villbrandt,Bündnis 90/Die Grünen
422,Steffen Zillich,Die Linke
423,Stefan Gelbhaar,Bündnis 90/Die Grünen
424,Marion Platta,Die Linke
425,Dr. Gabriele Hiller,Die Linke
426,Claudia Hämmerling,Bündnis 90/Die Grünen
427,Nicole Ludwig,Bündnis 90/Die Grünen
428,Frank Jahnke,SPD
429,Fabio Reinhardt,Piraten
430,Gerwald Claus-Brunner,Piraten
431,Katrin Schmidberger,Bündnis 90/Die Grünen
432,Claudio Jupe,CDU
433,Fréderic Verrycken,SPD
434,Dr. Ina Czyborra,SPD
435,Daniel Buchholz,SPD
436,Thomas Birk,Bündnis 90/Die Grünen
437,Andreas Otto,Bündnis 90/Die Grünen
438,Matthias Brauner,CDU
439,Uwe Doering,Die Linke
440,Heidi Kosche,Bündnis 90/Die Grünen
441,Dr. Klaus Lederer,Die Linke
442,Tom Schreiber,SPD
443,Sven Kohlmeier,SPD
444,Antje Kapek,Bündnis 90/Die Grünen
445,Alexander Morlang,Piraten
446,Dr. Clara West,SPD
447,Franziska Becker,SPD
448,Rainer-Michael Lehmann,SPD
449,Clara Herrmann,Bündnis 90/Die Grünen
450,Dr. Wolfgang Albers,Die Linke
451,Dirk Behrendt,Bündnis 90/Die Grünen
452,Ole Kreins,SPD
453,Michael Braun,CDU
454,Dirk Stettner,fraktionslos
455,Carola Bluhm,Die Linke
456,Stefan Ziller,Bündnis 90/Die Grünen
457,Sabine Bangert,Bündnis 90/Die Grünen
458,Sven Rissmann,CDU
459,Dr. Hans-Christian Hausmann,CDU
460,Björn Eggert,SPD
461,Simon Kowalewski,Piraten
462,Carsten Schatz,Die Linke
463,Christopher Lauer,Piraten
464,Dr. Susanna Kahlefeld,Bündnis 90/Die Grünen
465,Benedikt Lux,Bündnis 90/Die Grünen
466,Silke Gebel,Bündnis 90/Die Grünen
467,Andreas Baum,Piraten
468,Markus Klaer,CDU
469,Dr. Uwe Lehmann-Brauns,CDU
470,Wolfram Prieß,Piraten
471,Danny Freymark,CDU
472,Evrim Sommer,Die Linke
473,Harald Wolf,Die Linke
474,Liane Ollech,SPD
475,Anja Kofbinger,Bündnis 90/Die Grünen
476,Michael Schäfer,Bündnis 90/Die Grünen
477,Susanne Graf,Piraten
478,Ajibola Olalowo,Bündnis 90/Die Grünen
479,Katrin Vogel,CDU
480,Jürn Jakob Schultze-Berndt,CDU
481,Thomas Isenberg,SPD
482,Joachim Krüger,CDU
483,Joschka Langenbrinck,SPD
484,Wolfgang Brauer,Die Linke
485,Martin Delius,Piraten
486,Notker Schweikhardt,Bündnis 90/Die Grünen
