,person,party
2171,Fredi Winter,SPD
2172,Alexander Licht,CDU
2173,Gunther Heinisch,Bündnis 90/Die Grünen
2174,Andreas Hartenfels,Bündnis 90/Die Grünen
2175,Anke Beilstein,CDU
2176,Dietmar Johnen,Bündnis 90/Die Grünen
2177,Simone Huth-Haage,CDU
2178,Martin Haller,SPD
2179,Astrid Schmitt,SPD
2180,Anke Simon,SPD
2181,Anke Diane Simon,SPD
2182,Heiko Sippel,SPD
2183,Thorsten Wehner,SPD
2184,Bettina Brück,SPD
2185,Johannes Klomann,SPD
2186,Elfriede Meurer,CDU
2187,Christine Schneider,CDU
2188,Horst Gies,CDU
2189,Thomas Günther,CDU
2190,Nicole Besic-Molzberger,Bündnis 90/Die Grünen
2191,Ralf Seekatz,CDU
2192,Hedi Thelen,CDU
2193,Marion Schneid,CDU
2194,Dr. Dr. Rahim Schmidt,Bündnis 90/Die Grünen
2195,Ingeborg Sahler-Fesel,SPD
2196,Benedikt Oster,SPD
2197,Hans Jürgen Noss,SPD
2198,Wolfgang Schwarz,SPD
2199,Heike Scharfenberger,SPD
2200,Johannes Zehfuß,CDU
2201,Dr. Norbert Mittrücker,CDU
2202,Thomas Weiner,CDU
2203,Jens Guth,SPD
2204,Petra Elsner,SPD
2205,Anna Neuhof,Bündnis 90/Die Grünen
2206,Alexander Schweitzer,SPD
2207,Katharina Raue,Bündnis 90/Die Grünen
2208,Heinz-Hermann Schnabel,CDU
2209,Walter Feiniler,SPD
2210,Michael Billen,CDU
2211,Stephanie Nabinger,Bündnis 90/Die Grünen
2212,Dr. Tanja Machalet,SPD
2213,Jaqueline Rauschkolb,SPD
2214,Bernhard Kukatzki,SPD
2215,Marcel Hürter,SPD
2216,Dieter Klöckner,SPD
2217,Jörg Denninghoff,SPD
2218,Dr. Adolf Weiland,CDU
2219,Ulla Brede-Hoffmann,SPD
2220,Carsten Pörksen,SPD
2221,Nicole Molzberger,Bündnis 90/Die Grünen
2222,Ulrich Steinbach,Bündnis 90/Die Grünen
2223,Hannelore Klamm,SPD
2224,Marc Ruland,SPD
2225,Friederike Ebli,SPD
2226,Günther Ramsauer,SPD
2227,Monika Fink,SPD
2228,Nicole Müller-Orth,Bündnis 90/Die Grünen
2229,Herbert Schneiders,CDU
2230,Peter Wilhelm Dröscher,SPD
2231,Margit Mohr,SPD
2232,Frank Puchtler,SPD
2233,Doris Ahnen,SPD
2234,Malu Dreyer,SPD
2235,Susanne Ganster,CDU
2236,Dr. Josef Rosenbauer,CDU
2237,Joachim Paul,AfD
2238,Michael Frisch,AfD
2239,Matthias Joa,AfD
2240,Uwe Junge,AfD
2241,Matthias Lammert,CDU
2242,Pia Schellhammer,Bündnis 90/Die Grünen
2243,Andreas Rahm,SPD
2244,Alexander Fuhr,SPD
2245,Damian Lohr,AfD
2246,Gabriele Wieland,CDU
2247,Christian Baldauf,CDU
2248,Jutta Blatzheim-Roegler,Bündnis 90/Die Grünen
2249,Heijo Höfer,SPD
2250,Jörg Denninghoff,SPD
2251,Daniel Schäffner,SPD
2252,Dr. Timo Böhme,AfD
2253,Gerd Schreiner,CDU
2254,Nina Klinkel,SPD
2255,Jens Guth,SPD
2256,Andreas Hartenfels,Bündnis 90/Die Grünen
2257,Dr. Susanne Ganster,CDU
2258,Dr. Jan Bollinger,AfD
2259,Daniel Köbler,Bündnis 90/Die Grünen
2260,Ellen Demuth,CDU
2261,Ralf Seekatz,CDU
2262,Dr. Peter Enders,CDU
2263,Iris Nieland,AfD
2264,Barbara Schleicher-Rothmund,SPD
2265,Michael Wäschenbach,CDU
2266,Hans-Josef Bracht,CDU
2267,Martin Louis Schmidt,AfD
2268,Marion Schneid,CDU
2269,Dirk Herber,CDU
2270,Dr. Sylvia Groß,AfD
2271,Sven Teuber,SPD
2272,Julia Klöckner,CDU
2273,Dr. Christoph Gensch,CDU
2274,Heribert Friedmann,AfD
2275,Anke Beilstein,CDU
2276,Martin Brandl,CDU
2277,Dorothea Schäfer,CDU
2278,Helga Lerch,FDP
2279,Marco Weber,FDP
2280,Giorgina Kazungu-Haß,SPD
2281,Bettina Brück,SPD
2282,Marlies Kohnle-Gros,CDU
2283,Michael Billen,CDU
2284,Johannes Klomann,SPD
2285,Alexander Licht,CDU
2286,Dr. Adolf Weiland,CDU
2287,Jaqueline Rauschkolb,SPD
2288,Horst Gies,CDU
2289,Thomas Weiner,CDU
2290,Gordon Schnieder,CDU
2291,Reinhard Oelbermann,CDU
2292,Christine Schneider,CDU
2293,Bernhard Henter,CDU
2294,Gabriele Bublies-Leifert,AfD
2295,Arnold Schmitt,CDU
2296,Marc Ruland,SPD
2297,Dr. Anna Köbberling,SPD
2298,Guido Ernst,CDU
2299,Nico Steinbach,SPD
2300,Dr. Denis Alt,SPD
2301,Adolf Kessel,CDU
2302,Jürgen Klein,AfD
2303,Steven Wink,FDP
2304,Astrid Schmitt,SPD
2305,Jens Ahnemüller,AfD
2306,Dr. Bernhard Braun,Bündnis 90/Die Grünen
2307,Wolfgang Schwarz,SPD
2308,Hedi Thelen,CDU
2309,Josef Dötsch,CDU
2310,Heiko Sippel,SPD
2311,Dr. Tanja Machalet,SPD
2312,Kathrin Anklam-Trapp,SPD
2313,Simone Huth-Haage,CDU
2314,Benedikt Oster,SPD
2315,Ingeborg Sahler-Fesel,SPD
2316,Cornelia Willius-Senzer,FDP
2317,Johannes Zehfuß,CDU
2318,Manfred Geis,SPD
2319,Elfriede Meurer,CDU
2320,Fredi Winter,SPD
2321,Alexander Schweitzer,SPD
2322,Martin Haller,SPD
2323,Eveline Lemke,Bündnis 90/Die Grünen
2324,Hans Jürgen Noss,SPD
2325,Michael Neyses,Bündnis 90/Die Grünen
2326,Barbara Spaniol,Die Linke
2327,Hubert Ulrich,Bündnis 90/Die Grünen
2328,Christoph Kühn,FDP
2329,Dr. Magnus Jung,SPD
2330,Anke Rehlinger,SPD
2331,Isolde Ries,SPD
2332,Wolfgang Schumacher,Die Linke
2333,Lothar Schnitzler,Die Linke
2334,Ralf Georgi,Die Linke
2335,Gisela Kolb,SPD
2336,Heike Kugler,Die Linke
2337,Heiko Maas,SPD
2338,Birgit Huonker,Die Linke
2339,Astrid Schramm,Die Linke
2340,Rolf Linsler,Die Linke
2341,Prof. Dr. Heinz Bierbaum,Die Linke
2342,Günter Waluga,SPD
2343,Elke Eder-Hippler,SPD
2344,Ulrich Commerçon,SPD
2345,Dagmar Ensch-Engel,Die Linke
2346,Reinhold Jost,SPD
2347,Cornelia Hoffmann-Bethscheider,SPD
2348,Silke Biendel,SPD
2349,Arnold Schmitt,CDU
2350,Stefan Pauluhn,SPD
2351,Hermann Scharf,CDU
2352,Eugen Roth,SPD
2353,Dr. Christoph Hartmann,FDP
2354,Dieter Burgard,SPD
2355,Karl-Josef Jochem,FDP
2356,Hubert Ulrich,Bündnis 90/Die Grünen
2357,Jasmin Freigang,Piraten
2358,Klaus Kessler,Bündnis 90/Die Grünen
2359,Dagmar Ensch-Engel,Die Linke
2360,Birgit Huonker,Die Linke
2361,Heike Kugler,Die Linke
2362,Barbara Spaniol,Die Linke
2363,Andreas Augustin,Piraten
2364,Michael Neyses,Piraten
2365,Prof. Dr. Heinz Bierbaum,Die Linke
2366,Ralf Georgi,Die Linke
2367,Astrid Schramm,Die Linke
2368,Michael Hilberer,Piraten
2369,Jasmin Maurer,Piraten
2370,Isolde Ries,SPD
2371,Günter Heinrich,CDU
2372,Stephanie Nabinger,Bündnis 90/Die Grünen
2373,Prof. Dr. Bierbaum,Die Linke
2374,Oskar Lafontaine,Die Linke
2375,Dr. Simone Peter,Bündnis 90/Die Grünen
2376,Uwe Conradt,CDU
2377,Rolf Linsler,Die Linke
2378,Margriet Zieder-Ripplinger,SPD
2379,Roland Theis,CDU
2380,Dennis Lander,Die Linke
2381,Ralf Georgi,Die Linke
2382,Astrid Schramm,Die Linke
2383,Lutz Hecker,AfD
2384,Jochen Flackus,Die Linke
2385,Josef Dörr,AfD
2386,Barbara Spaniol,Die Linke
2387,Rudolf Müller,AfD
2388,Dagmar Ensch-Engel,Die Linke
2389,Isolde Ries,SPD
2390,Kerstin Köditz,Die Linke
2391,Enrico Stange,Die Linke
2392,Klaus Bartl,Die Linke
2393,Juliane Nagel,Die Linke
2394,Wolfram Günther,Bündnis 90/Die Grünen
2395,Holger Mann,SPD
2396,Valentin Lippmann,Bündnis 90/Die Grünen
2397,Dr. Jana Pinka,Die Linke
2398,Sebastian Wippel,AfD
2399,Carsten Hütter,AfD
2400,Volkmar Zschocke,Bündnis 90/Die Grünen
2401,Heiko Kosel,Die Linke
2402,Rolf Weigand,AfD
2403,Dr. Rolf Weigand,AfD
2404,Janina Pfau,Die Linke
2405,Marco Böhme,Die Linke
2406,Mirko Schultze,Die Linke
2407,André Barth,AfD
2408,Rico Gebhardt,Die Linke
2409,Katja Meier,Bündnis 90/Die Grünen
2410,Gunter Wild,AfD
2411,Susanne Schaper,Die Linke
2412,Jan Löffler,CDU
2413,Sarah Buddeberg,Die Linke
2414,Antje Feiks,Die Linke
2415,André Schollbach,Die Linke
2416,Franziska Schubert,Bündnis 90/Die Grünen
2417,Franz Sodann,Die Linke
2418,Dr. Kirsten Muster,AfD
2419,Petra Zais,Bündnis 90/Die Grünen
2420,Albrecht Pallas,SPD
2421,André Wendt,AfD
2422,Ines Saborowski,CDU
2423,Klaus Tischendorf,Die Linke
2424,Nico Brünler,Die Linke
2425,Dagmar Neukirch,SPD
2426,René Jalaß,Die Linke
2427,Karin Wilke,AfD
2428,Horst Wehner,Die Linke
2429,Uta-Verena Meiwald,Die Linke
2430,Cornelia Falken,Die Linke
2431,Silke Grimm,AfD
2432,Andrea Kersten,AfD
2433,Iris Raether-Lordieck,SPD
2434,Stephan Hösl,CDU
2435,Andreas Heinz,CDU
2436,Georg-Ludwig Breitenbuch,CDU
2437,Geert Mackenroth,CDU
2438,Ronald Pohle,CDU
2439,von Georg-Ludwig Breitenbuch,CDU
2440,Dr. Claudia Maicher,Bündnis 90/Die Grünen
2441,Dr. Gerd Lippold,Bündnis 90/Die Grünen
2442,Mario Beger,AfD
2443,Gerald Otto,CDU
2444,Marion Junge,Die Linke
2445,Frauke Petry fraktionslos,fraktionslos
2446,Dr. Frauke Petry,fraktionslos
2447,Frank Heidan,CDU
2448,Daniela Kuge,CDU
2449,Kerstin Lauterbach,Die Linke
2450,Uwe Wurlitzer,AfD
2451,Andreas Nowak,CDU
2452,Kathrin Kagelmann,Die Linke
2453,Ines Springer,CDU
2454,Luise Neuhaus-Wartenberg,Die Linke
2455,Juliane Pfeil-Zabel,SPD
2456,Dirk Panter,SPD
2457,Simone Lang,SPD
2458,Jörg Urban,AfD
2459,Volkmar Winkler,SPD
2460,Henning Homann,SPD
2461,Christian Hartmann,CDU
2462,Hanka Kliese,SPD
2463,Gunter Wild fraktionslos,fraktionslos
2464,Andrea Kersten fraktionslos,fraktionslos
2465,Ines Saborowski-Richter,CDU
2466,Kirsten Muster fraktionslos,fraktionslos
2467,Wolf-Dietrich Rost,CDU
2468,Anja Klotzbücher,Die Linke
2469,Detlev Spangenberg,AfD
2470,Lutz Richter,Die Linke
2471,Lothar Bienst,CDU
2472,Sven Liebhauser,CDU
2473,Falk Neubert,Die Linke
2474,Mario Pecher,SPD
2475,Alexander Krauß,CDU
2476,Sebastian Scheel,Die Linke
2477,Jörg Kiesewetter,CDU
2478,Matthias Rößler,CDU
2479,Dr. Matthias Rößler,CDU
2480,Marko Schiemann,CDU
2481,Jörg Vieweg,SPD
2482,Kirsten Muster,AfD
2483,Jana Pinka,Die Linke
2484,Claudia Maicher,Bündnis 90/Die Grünen
2485,Stephan Meyer,CDU
2486,Dr. Stephan Meyer,CDU
2487,Gerd Lippold,Bündnis 90/Die Grünen
2488,Svend-Gunnar Kirmes,CDU
2489,Aline Fiedler,CDU
2490,Annekatrin Klepsch,Die Linke
2491,Eva Jähnigen,Bündnis 90/Die Grünen
2492,Thomas Baum,SPD
2493,Peter Wilhelm Patt,CDU
2494,Oliver Wehner,CDU
2495,Kerstin Nicolaus,CDU
2496,Stefan Dreher,AfD
2497,Sabine Friedel,SPD
2498,Olaf Meister,Bündnis 90/Die Grünen
2499,Cornelia Lüddemann,Bündnis 90/Die Grünen
2500,Prof. Dr. Claudia Dalbert,Bündnis 90/Die Grünen
2501,Bernhard Bönisch,CDU
2502,Dorothea Frederking,Bündnis 90/Die Grünen
2503,Sebastian Striegel,Bündnis 90/Die Grünen
2504,Jürgen Scharf,CDU
2505,Dorothee Berthold,Bündnis 90/Die Grünen
2506,Sören Herbst,Bündnis 90/Die Grünen
2507,Wulf Gallert,Die Linke
2508,Daniel Sturm,CDU
2509,Harry Czeke,Die Linke
2510,Uwe Loos,Die Linke
2511,Rüdiger Erben,SPD
2512,Swen Knöchel,Die Linke
2513,Siegfried Borgwardt,CDU
2514,Ronald Mormann,SPD
2515,Jan Wagner,Die Linke
2516,Edwina Koch-Kupfer,Die Linke
2517,Hans-Jörg Krause,Die Linke
2518,Henriette Quade,Die Linke
2519,Matthias Höhn,Die Linke
2520,Frank Hoffmann,Die Linke
2521,Nadine Hampel,SPD
2522,Gudrun Tiedge,Die Linke
2523,Dagmar Zoschke,Die Linke
2524,Madeleine-Rita Mittendorf,SPD
2525,Eva von Angern,Die Linke
2526,Andreas Steppuhn,SPD
2527,Ralf Wunschinski,CDU
2528,Gerald Grünert,Die Linke
2529,Angela Gorr,CDU
2530,Matthias Graner,SPD
2531,Dr. Ronald Brachmann,SPD
2532,Dr. Helga Paschke,Die Linke
2533,Lars-Jörn Zimmer,CDU
2534,Hendrik Lange,Die Linke
2535,Stefan Gebhardt,Die Linke
2536,Verena Wicke-Scheil,Bündnis 90/Die Grünen
2537,Petra Grimm-Benne,SPD
2538,Thomas Leimbach,CDU
2539,Dr. Verena Späthe,SPD
2540,Monika Hohmann,Die Linke
2541,Dietmar Weihrich,Bündnis 90/Die Grünen
2542,Steffen Rosmeisl,CDU
2543,Dr. Frank Thiel,Die Linke
2544,Dr. Katja Pähle,SPD
2545,Franziska Latta,Bündnis 90/Die Grünen
2546,Thomas Keindorf,CDU
2547,Jürgen Weigelt,CDU
2548,Birke Bull,Die Linke
2549,Hans-Joachim Mewes,Die Linke
2550,Bianca Görke,Die Linke
2551,Wigbert Schwenke,CDU
2552,Markus Kurze,CDU
2553,Angelika Hunger,Die Linke
2554,Jens Kolze,CDU
2555,Ralf Bergmann,SPD
2556,Frank Bommersbach,CDU
2557,Eduard Jantos,CDU
2558,Eva Feußner,CDU
2559,André Lüderitz,Die Linke
2560,André Schröder,CDU
2561,Evelyn Edler,Die Linke
2562,Corinna Reinecke,SPD
2563,Silke Schindler,SPD
2564,Sabine Dirlich,Die Linke
2565,Krimhild Niestädt,SPD
2566,Jürgen Barth,SPD
2567,Guido Henke,Die Linke
2568,Dr. Angelika Klein,Die Linke
2569,Frank Scheurell,CDU
2570,Hardy Peter Güssau,CDU
2571,Holger Hövelmann,SPD
2572,Jürgen Stadelmann,CDU
2573,Thomas Felke,SPD
2574,Edeltraud Thiel-Rogée,Die Linke
2575,Ralf Geisthardt,CDU
2576,Bernhard Daldrup,CDU
2577,Christoph Erdmenger,Bündnis 90/Die Grünen
2578,Peter Rotter,CDU
2579,Dietmar Krause,CDU
2580,Arnd Czapek,CDU
2581,Kay Barthel,CDU
2582,Nicole Rotzsch,CDU
2583,Dr. Uwe-Volkmar Köck,Die Linke
2584,Nico Schulz,CDU
2585,Tilman Tögel,SPD
2586,Edeltraud Rogée,Die Linke
2587,Rüdiger Erben,SPD
2588,Daniel Roi,AfD
2589,Sebastian Striegel,Bündnis 90/Die Grünen
2590,Andreas Gehlmann,AfD
2591,Andreas Steppuhn,SPD
2592,Hannes Loth,AfD
2593,Volker Olenicak,AfD
2594,Henriette Quade,Die Linke
2595,Wolfgang Aldag,Bündnis 90/Die Grünen
2596,Dr. Hans-Thomas Tillschneider,AfD
2597,Olaf Meister,Bündnis 90/Die Grünen
2598,Daniel Wald,AfD
2599,Hagen Kohl,AfD
2600,Katja Bahlmann,Die Linke
2601,Kristin Heiß,Die Linke
2602,Matthias Lieschke,AfD
2603,Mario Lehmann,AfD
2604,Prof. Dr. Angela Kolb-Janssen,SPD
2605,Dr. Katja Pähle,SPD
2606,Swen Knöchel,Die Linke
2607,Cornelia Lüddemann,Bündnis 90/Die Grünen
2608,Stefan Gebhardt,Die Linke
2609,Oliver Kirchner,AfD
2610,Lydia Funke,AfD
2611,Kerstin Eisenreich,Die Linke
2612,Christina Buchheim,Die Linke
2613,Thomas Lippmann,Die Linke
2614,Eva von Angern,Die Linke
2615,Doreen Hildebrandt,Die Linke
2616,Guido Henke,Die Linke
2617,Jan Wenzel Schmidt,AfD
2618,Dorothea Frederking,Bündnis 90/Die Grünen
2619,Ulrich Siegmund,AfD
2620,Hendrik Lange,Die Linke
2621,Thomas Höse,AfD
2622,Marcus Spiegelberg,AfD
2623,Robert Farle,AfD
2624,Andreas Höppner,Die Linke
2625,Monika Hohmann,Die Linke
2626,Wulf Gallert,Die Linke
2627,Dagmar Zoschke,Die Linke
2628,Matthias Büttner,AfD
2629,Frank Bommersbach,CDU
2630,Sarah Sauermann,AfD
2631,Alexander,AfD
2632,Raue,AfD
2633,Silke Schindler,SPD
2634,Dr. Andreas Schmidt,SPD
2635,Daniel Rausch,AfD
2636,Dr. Verena Späthe,SPD
2637,Jürgen Barth,SPD
2638,Guido Heuer,CDU
2639,Ronald Mormann,SPD
2640,Uwe Harms,CDU
2641,Florian Philipp,CDU
2642,Bernhard Bönisch,CDU
2643,Frank Scheurell,CDU
2644,Dr. Falko Grube,SPD
2645,Jens Diederichs,AfD
2646,Thomas Keindorf,CDU
2647,André Poggenburg,AfD
2648,Bernhard Daldrup,CDU
2649,Lars-Jörn Zimmer,CDU
2650,Jens Kolze,CDU
2651,Dietmar Krause,CDU
2652,Holger Hövelmann,SPD
2653,Andreas Schumann,CDU
2654,Detlef Gürth,CDU
2655,Willi Mittelstädt,AfD
2656,Daniel Sturm,CDU
2657,Andreas Mrosek,AfD
2658,Chris Schulenburg,CDU
2659,Tobias Rausch,AfD
2660,Tobias Krull,CDU
2661,Gottfried Backhaus,AfD
2662,Daniel Szarata,CDU
2663,Ulrich Thomas,CDU
2664,Markus Kurze,CDU
2665,Matthias Höhn,Die Linke
2666,Birke Bull-Bischoff,Die Linke
2667,Eva Feußner,CDU
2668,Katrin Budde,SPD
2669,Dr.,SPD
2670,Grube,SPD
2671,Falko,SPD
2672,Birke Bull,Die Linke
2673,Ralf Geisthardt,CDU
2674,Angela Gorr,CDU
2675,Dr. Axel Bernstein,CDU
2676,Dr. Patrick Breyer,Piraten
2677,Dr. Kai Dolgner,SPD
2678,Uli König,Piraten
2679,Angelika Beer,Piraten
2680,Volker Dornquast,CDU
2681,Anita Klahn,FDP
2682,Petra Nicolaisen,CDU
2683,Hans-Jörn Arp,CDU
2684,Wolfgang Kubicki,FDP
2685,Barbara Ostmeier,CDU
2686,Katja Rathje-Hoffmann,CDU
2687,Dr. Heiner Garg,FDP
2688,Oliver Kumbartzky,FDP
2689,Christopher Vogt,FDP
2690,Astrid Damerow,CDU
2691,Heiner Rickers,CDU
2692,Hartmut Hamerich,CDU
2693,Daniel Günther,CDU
2694,Heike Franzen,CDU
2695,Tobias Koch,CDU
2696,Peter Lehnert,CDU
2697,Sven Krumbeck,Piraten
2698,Rasmus Andresen,Bündnis 90/Die Grünen
2699,Johannes Callsen,CDU
2700,Torge Schmidt,Piraten
2701,Klaus Schlie,CDU
2702,Birte Pauls,SPD
2703,Klaus Jensen,CDU
2704,Jette Waldinger-Thiering,SSW
2705,Wolfgang Dudda,Piraten
2706,Dr. Ralf Stegner,SPD
2707,Karsten Jasper,CDU
2708,Dr. Ekkehard Klug,FDP
2709,Hauke Göttsch,CDU
2710,Martin Habersaat,SPD
2711,Jens-Christian Magnussen,CDU
2712,Peter Sönnichsen,CDU
2713,Hans Hinrich Neve,CDU
2714,Finanzminister/in,CDU
2715,Anke Erdmann,Bündnis 90/Die Grünen
2716,Anreas Breitner,Piraten
2717,Jürgen Weber,SPD
2718,Ines Strehlau,Bündnis 90/Die Grünen
2719,Bernd Voß,Bündnis 90/Die Grünen
2720,Thomas Rother,SPD
2721,Thomas Hölck,SPD
2722,Lars Winter,SPD
2723,Rainer Wiegard,CDU
2724,Kai Vogel,SPD
2725,Wolfgang Baasch,SPD
2726,Beate Raudies,SPD
2727,Burkhard Peters,Bündnis 90/Die Grünen
2728,Lars Harms,SSW
2729,Dr. Heiner Dunckel,SPD
2730,Martin Habersaat,SPD
2731,Jette Waldinger-Thiering,SSW
2732,Kerstin Metzner,SPD
2733,Thomas Hölck,SPD
2734,Tobias von Pein,SPD
2735,Beate Raudies,SPD
2736,Bernd Heinemann,SPD
2737,Jörg Nobis,AfD
2738,Doris Fürstin von Sayn-Wittgenstein,AfD
2739,Dr. Kai Dolgner,SPD
2740,Wolfgang Baasch,SPD
2741,Birte Pauls,SPD
2742,Kai Vogel,SPD
2743,Kathrin Bockey,SPD
2744,Thomas Rother,SPD
2745,Regina Poersch,SPD
2746,Dr. Frank Brodehl,AfD
2747,Claus Schaffer,AfD
2748,Lars Harms,SSW
2749,Özlem Ünsal,SPD
2750,Kirsten Eickhoff-Weber,SPD
2751,Stefan Weber,SPD
2752,Volker Schnurrbusch,AfD
2753,Flemming Meyer,SSW
2754,Sandra Redmann,SPD
2755,Kathrin Wagner-Bockey,SPD
2756,Jörg Hansen,FDP
2757,Annabell Krämer,FDP
2758,Dennys Bornhöft,FDP
2759,Dr. Ralf Stegner,SPD
2760,Serpil Midyatli,SPD
2761,Dr. Andreas Tietze,Bündnis 90/Die Grünen
2762,Andrea Tschacher,CDU
2763,Lasse Petersdotter,Bündnis 90/Die Grünen
2764,Lukas Kilian,CDU
2765,Birgit Herdejürgen,SPD
2766,Burkhard Peters,Bündnis 90/Die Grünen
2767,Tobias Loose,CDU
2768,Rasmus Andresen,Bündnis 90/Die Grünen
2769,Anita Klahn,FDP
2770,Ines Strehlau,Bündnis 90/Die Grünen
2771,Werner Kalinka,CDU
2772,Ralf Kalich,Die Linke
2773,Eleonore Mühlbauer,SPD
2774,Katharina König-Preuss,Die Linke
2775,Rainer Kräuter,Die Linke
2776,Frank Kuschel,Die Linke
2777,Madeleine Henfling,Bündnis 90/Die Grünen
2778,Andreas Bühl,CDU
2779,Beate Meißner,CDU
2780,Christoph Zippel,CDU
2781,Dr. Werner Pidde,SPD
2782,Dr. Thadäus Rudolf König,CDU
2783,Mike Mohring,CDU
2784,Stefan Möller,AfD
2785,Olaf Kießling,AfD
2786,Annette Lehmann,CDU
2787,Raymond Walk,CDU
2788,Maik Kowalleck,CDU
2789,Herbert Wirkner,CDU
2790,Wiebke Muhsal,AfD
2791,Astrid Rothe-Beinlich,Bündnis 90/Die Grünen
2792,Jörg Kellner,CDU
2793,Corinna Herold,AfD
2794,Jörg Henke,AfD
2795,Christian Tischner,CDU
2796,Egon Primas,CDU
2797,Steffen Dittes,Die Linke
2798,Thomas Rudy,AfD
2799,André Blechschmidt,Die Linke
2800,Prof. Dr. Mario Voigt,CDU
2801,Jens Krumpe,AfD
2802,Dr. Falk Thomas Hartung,SPD
2803,Ina Leukefeld,Die Linke
2804,Sabine Berninger,Die Linke
2805,Olaf Müller,Bündnis 90/Die Grünen
2806,Christian Schaft,Die Linke
2807,Diana Lehmann,SPD
2808,Marion Rosin,SPD
2809,Manfred Scherer,CDU
2810,Dagmar Becker,SPD
2811,Henry Worm,CDU
2812,Volker Emde,CDU
2813,Jörg Thamm,CDU
2814,Roberto Kobelt,Bündnis 90/Die Grünen
2815,Torsten Wolf,Die Linke
2816,Christian Herrgott,CDU
2817,Gudrun Holbe,CDU
2818,Karola Stange,Die Linke
2819,Marit Wagler,Die Linke
2820,Steffen Harzer,Die Linke
2821,Stefan Gruhner,CDU
2822,Marcus Malsch,CDU
2823,Dr. Gudrun Lukin,Die Linke
2824,Babett Pfefferlein,Bündnis 90/Die Grünen
2825,Jörg Kubitzki,Die Linke
2826,Björn Höcke,AfD
2827,Gerold Wucherpfennig,CDU
2828,Ronald Hande,Die Linke
2829,Kati Engel,Die Linke
2830,Anja Müller,Die Linke
2831,Simone Schulze,CDU
2832,Klaus Rietschel,AfD
2833,Dirk Adams,Bündnis 90/Die Grünen
2834,Jörg Geibert,CDU
2835,Tilo Kummer,Die Linke
2836,Dieter Hausold,Die Linke
2837,Wolfgang Fiedler,CDU
2838,Michael Heym,CDU
2839,Ute Lukasch,Die Linke
2840,Knut Korschewsky,Die Linke
2841,Dr. Johanna Scheringer-Wright,Die Linke
2842,Siegfried Gentele,AfD
2843,Kristin Floßmann,CDU
2844,Christina Liebetrau,CDU
2845,Katja Mitteldorf,Die Linke
2846,Birgit Pelke,SPD
2847,Jürgen Reinholz,CDU
2848,Iris Martin-Gehl,Die Linke
2849,Manfred Grob,CDU
2850,Mike Huster,Die Linke
2851,Mario Voigt,CDU
2852,Klaus Jörg Kubitzki,Die Linke
2853,Werner Pidde,SPD
2854,Margit Jung,Die Linke
2855,Johanna Scheringer-Wright,Die Linke
2856,Falk Thomas Hartung,SPD
2857,Stephan Brandner,AfD
2858,Christoph Matschie,SPD
2859,Marion Walsmann,CDU
2860,Christina Tasch,CDU
2861,Gudrun Lukin,Die Linke
2862,Katharina König,Die Linke
2863,Diana Skibbe,Die Linke
2864,Dorothea Marx,SPD
2865,Frank Warnecke,SPD
2866,Christian Carius,CDU
2867,Elke Holzapfel,CDU
2868,Oskar Helmerich,AfD
2869,Kati Grund,Die Linke
2870,Olaf Möller,Bündnis 90/Die Grünen
,Nikolaos Sakkelariou,SPD
,Dr. Gisela Splett,Bündnis 90/Die Grünen
,Florian  Streibl,Freie Wähler
,Melanie Kühnemann-Grunow,SPD
,Dr. Matthias Güldner,Bündnis 90/Die Grünen
,Björn Fecker,Bündnis 90/Die Grünen
,Dr. Maike Schaefer,Bündnis 90/Die Grünen
,Dirk Schmidtmann,Bündnis 90/Die Grünen
,Stephan Mayer,CDU/CSU
,Gabriele Fograscher,SPD
,Dr. Lars Castellucci,SPD
,Armin Schuster,CDU/CSU
,Hubert Hüppe,CDU/CSU
,Marian Wendt,CDU/CSU
,Uli Grötsch,SPD
,Dr. Patrick Sensburg,CDU/CSU
,Dr. Johannes Fechner,SPD
,Sigrid Beer,Bündnis 90/Die Grünen
,Jürgen Berghahn,SPD
,Nic Vogel,AfD
,Serpil Midyatli,SPD
,Tobias von Pein,SPD
,Kirsten Eickhoff-Weber,SPD
,Marlies Fritzen,Bündnis 90/Die Grünen
,Flemming Meyer,SSW
,Eka von Kalben,Bündnis 90/Die Grünen
,Birgit Herdejürgen,SPD
,Dr. Marret Bohn,Bündnis 90/Die Grünen
,Christopher Vogt,FDP
